Subject,Regime,Acc_S1,Acc_last,Acc_drop,KL_S1,KL_last,MMD_drift_max,Sig_drift_sess
S1,ambiguous,0.529,0.493,0.036,0.659,0.101,1.1499,10
S2,jump,0.676,0.5,0.176,0.891,0.082,1.308,10
S3,ambiguous,0.52,0.491,0.029,1.232,0.034,0.8998,6
S4,ambiguous,0.693,0.498,0.196,0.786,0.186,1.2059,10
S5,jump,0.719,0.705,0.013,0.884,0.894,0.3435,6
S6,ambiguous,0.542,0.476,0.067,0.609,0.106,0.7103,6
S7,jump,0.646,0.502,0.144,0.403,0.599,1.0559,10
S8,ambiguous,0.615,0.504,0.111,0.232,0.21,1.2027,10
S9,ambiguous,0.707,0.612,0.095,0.45,0.36,0.6896,10
S10,ambiguous,0.625,0.524,0.101,0.234,0.009,0.7296,10
S11,jump,0.674,0.52,0.154,0.557,0.191,1.0916,10
S12,jump,0.664,0.551,0.113,0.533,0.066,0.48,10
S13,ambiguous,0.567,0.533,0.034,0.23,0.526,1.3361,10
S14,ambiguous,0.562,0.513,0.049,0.085,0.026,0.2883,10
S15,ambiguous,0.522,0.518,0.004,0.405,0.018,1.1124,10
S16,jump,0.701,0.507,0.194,0.678,0.111,0.8993,10
S17,ambiguous,0.491,0.496,-0.004,0.044,0.05,0.9796,10
S18,ambiguous,0.584,0.516,0.069,0.31,0.014,0.8567,10
S19,jump,0.738,0.5,0.238,1.045,1.164,1.3973,10
S20,jump,0.738,0.568,0.169,1.091,0.571,1.2675,6
S21,ambiguous,0.544,0.498,0.046,0.371,0.141,1.0775,6
S22,ambiguous,0.625,0.513,0.112,0.332,0.028,1.3344,6
S23,ambiguous,0.551,0.5,0.051,1.963,0.124,1.289,6
S24,ambiguous,0.513,0.484,0.029,0.126,0.014,1.5177,10
S25,ambiguous,0.529,0.493,0.036,0.157,0.13,0.7435,10
S26,ambiguous,0.551,0.5,0.051,0.786,0.026,1.1722,10
S27,ambiguous,0.603,0.502,0.1,0.287,0.114,1.2188,10
S28,jump,0.735,0.513,0.221,0.833,0.156,1.2179,10
S29,jump,0.742,0.484,0.258,0.857,0.014,1.4429,10
S30,ambiguous,0.533,0.478,0.056,0.114,0.404,1.1421,10
S31,ambiguous,0.509,0.487,0.022,0.232,0.017,1.1367,10
S32,ambiguous,0.588,0.438,0.15,0.267,0.069,0.8835,10
S33,ambiguous,0.54,0.498,0.042,0.391,0.056,0.5188,10
S34,ambiguous,0.518,0.491,0.027,0.055,0.103,1.2258,10
S35,ambiguous,0.612,0.619,-0.008,0.461,0.249,0.9517,10
S36,ambiguous,0.524,0.498,0.027,0.076,0.016,1.2982,10
S37,ambiguous,0.511,0.513,-0.002,0.224,0.246,0.7638,6
S38,ambiguous,0.509,0.491,0.018,0.149,0.098,1.1484,10
S39,jump,0.746,0.518,0.228,0.806,0.433,0.8897,6
S40,ambiguous,0.582,0.498,0.084,2.226,0.057,1.2244,6
S41,ambiguous,0.556,0.502,0.053,0.341,0.009,1.168,10
S42,ambiguous,0.522,0.484,0.038,0.742,0.14,1.2026,6
S43,jump,0.774,0.5,0.274,0.868,0.127,1.0192,6
S44,ambiguous,0.619,0.52,0.099,0.246,0.398,0.9644,10
S45,jump,0.704,0.511,0.192,0.63,0.133,1.0988,6
S46,ambiguous,0.64,0.5,0.14,0.28,0.183,1.411,10
S47,ambiguous,0.575,0.498,0.077,0.39,0.047,1.2583,10
S48,ambiguous,0.531,0.5,0.031,0.232,0.019,1.1715,6
S49,ambiguous,0.542,0.487,0.056,0.097,0.114,0.5777,6
S50,ambiguous,0.757,0.513,0.243,1.293,0.29,0.1789,10
S51,jump,0.693,0.542,0.151,0.638,0.224,0.9009,10
S52,ambiguous,0.604,0.724,-0.12,1.435,0.726,0.3697,6
S53,ambiguous,0.516,0.52,-0.004,0.097,0.012,1.3644,10
S54,ambiguous,0.513,0.491,0.022,0.143,0.057,1.0635,10
S55,ambiguous,0.616,0.511,0.105,0.675,0.1,1.1219,10
S56,jump,0.655,0.498,0.157,0.645,0.033,1.3359,6
S57,jump,0.764,0.531,0.233,1.248,0.168,0.6355,6
S58,ambiguous,0.527,0.476,0.051,0.447,0.083,0.6218,10
S59,jump,0.679,0.498,0.181,0.577,0.081,1.3801,10
S60,jump,0.858,0.631,0.227,2.289,1.032,1.3894,6
S61,ambiguous,0.723,0.529,0.194,0.761,0.464,1.0728,6
S62,ambiguous,0.642,0.502,0.139,0.339,0.013,1.0384,6
